subject,mean,median,std,max,min
TOME_3030,0.386896,0.371231,0.200285,0.912729,0.0
TOME_3005,0.39438,0.37418,0.189569,0.925694,0.0
TOME_3024,0.424797,0.418033,0.19599,0.905606,0.0
TOME_3013,0.387636,0.37221,0.186528,0.943017,0.0
TOME_3019,0.421392,0.403204,0.194062,0.929257,0.0
TOME_3037,0.439912,0.442848,0.198931,0.90113,0.0
TOME_3029,0.436125,0.430356,0.176243,0.880739,0.0
TOME_3007,0.383873,0.383921,0.177706,0.841945,0.0
TOME_3003,0.399567,0.379834,0.180049,0.884137,0.0
TOME_3020,0.378814,0.354188,0.191419,0.872401,0.0
TOME_3023,0.415512,0.397314,0.196456,0.943509,0.0
TOME_3031,0.424062,0.408951,0.19745,0.900168,0.0
TOME_3028,0.405553,0.386985,0.202358,0.91429,0.0
TOME_3034,0.386333,0.377588,0.180587,0.884963,0.0
TOME_3018,0.393951,0.389015,0.20067,0.893112,0.0
TOME_3009,0.389594,0.380788,0.183853,0.882597,0.0
TOME_3036,0.420613,0.411454,0.188366,0.913007,0.0
TOME_3004,0.422676,0.409446,0.195782,0.902372,0.0
TOME_3008,0.437424,0.41485,0.204555,0.941939,0.0
TOME_3026,0.349216,0.335098,0.176816,0.774183,0.0
TOME_3032,0.394417,0.37308,0.181544,0.932293,0.0
TOME_3038,0.413944,0.383624,0.209791,0.950543,0.0
TOME_3016,0.42759,0.416318,0.185014,0.938506,0.0
TOME_3033,0.409161,0.391799,0.188001,0.90236,0.0
TOME_3035,0.389087,0.368206,0.187265,0.86998,0.0
TOME_3011,0.450747,0.437289,0.196335,0.898981,0.0
TOME_3040,0.359746,0.351533,0.169189,0.876277,0.0
TOME_3043,0.397505,0.385645,0.193752,0.891285,0.0
TOME_3014,0.422329,0.411677,0.191586,0.903404,0.0
TOME_3012,0.378587,0.369283,0.195915,0.883687,0.0
TOME_3015,0.385803,0.375457,0.172849,0.882753,0.0
TOME_3021,0.404733,0.394323,0.194956,0.889256,0.0
TOME_3022,0.419453,0.406347,0.187216,0.894068,0.0
TOME_3025,0.415,0.399263,0.187944,0.86949,0.0
TOME_3044,0.423548,0.419611,0.191947,0.918456,0.0
TOME_3045,0.39929,0.382057,0.172044,0.896736,0.0
TOME_3046,0.351666,0.340525,0.176899,0.855653,0.0
TOME_3042,0.372742,0.360515,0.179437,0.843952,0.0
TOME_3017,0.398249,0.385486,0.18649,0.921507,0.0
TOME_3001,0.424363,0.402045,0.207881,0.911993,0.0
TOME_3002,0.408172,0.40375,0.208618,0.917091,0.0
TOME_3039,0.431857,0.416026,0.199726,0.895359,0.0
