subject,mean,median,std,max,min
TOME_3030,0.639222,0.656497,0.100104,0.846136,0.0
TOME_3005,0.638409,0.643625,0.124688,0.869205,0.0
TOME_3024,0.647664,0.663577,0.103443,0.820333,0.0
TOME_3013,0.605951,0.613423,0.11679,0.851245,0.0
TOME_3019,0.672695,0.692079,0.12144,0.899988,0.0
TOME_3037,0.642666,0.664527,0.10186,0.846812,0.0
TOME_3029,0.651697,0.673437,0.121392,0.863306,0.0
TOME_3007,0.615083,0.627661,0.098276,0.82859,0.0
TOME_3003,0.653073,0.663586,0.11719,0.877228,0.0
TOME_3020,0.640561,0.664821,0.106337,0.801812,0.0
TOME_3023,0.665356,0.693777,0.109158,0.835771,0.0
TOME_3031,0.639543,0.653208,0.112847,0.841662,0.0
TOME_3028,0.660525,0.679222,0.11683,0.861087,0.0
TOME_3034,0.63981,0.66532,0.11274,0.838518,0.0
TOME_3018,0.651252,0.662196,0.114121,0.876537,0.0
TOME_3009,0.650377,0.667086,0.111048,0.833251,0.0
TOME_3036,0.622755,0.639062,0.109524,0.824392,0.0
TOME_3004,0.667404,0.684181,0.101857,0.849627,0.0
TOME_3008,0.63936,0.65581,0.110976,0.853763,0.0
TOME_3026,0.641044,0.656371,0.10893,0.844921,0.0
TOME_3032,0.607512,0.629902,0.122831,0.82072,0.0
TOME_3038,0.639267,0.658948,0.124091,0.877746,0.0
TOME_3016,0.662889,0.685848,0.108537,0.857998,0.0
TOME_3033,0.579052,0.582342,0.086979,0.781553,0.0
TOME_3035,0.622938,0.643964,0.105459,0.830997,0.0
TOME_3011,0.634364,0.649143,0.106685,0.827535,0.0
TOME_3040,0.646077,0.650468,0.128449,0.881308,0.0
TOME_3043,0.645932,0.661803,0.101311,0.821448,0.0
TOME_3014,0.599656,0.611677,0.115258,0.838061,0.0
TOME_3012,0.592383,0.603185,0.096023,0.785327,0.0
TOME_3015,0.638257,0.664716,0.107341,0.829162,0.0
TOME_3021,0.652739,0.661603,0.104892,0.855053,0.0
TOME_3022,0.648061,0.671201,0.108007,0.874076,0.0
TOME_3025,0.619968,0.620335,0.119687,0.848723,0.0
TOME_3044,0.656892,0.677179,0.097775,0.848273,0.0
TOME_3045,0.625721,0.640314,0.117579,0.822508,0.0
TOME_3046,0.641198,0.653282,0.100231,0.811776,0.0
TOME_3042,0.652463,0.67045,0.117722,0.85696,0.0
TOME_3017,0.651863,0.668056,0.092496,0.818239,0.0
TOME_3001,0.658158,0.6727,0.115336,0.87463,0.0
TOME_3002,0.664808,0.665555,0.109088,0.912324,0.0
TOME_3039,0.643324,0.649008,0.097648,0.845944,0.0
