subject,mean,median,std,max,min
TOME_3030,0.000408,0.000408,4.1e-05,0.000537,0.0
TOME_3005,0.000443,0.000441,3.4e-05,0.000545,0.0
TOME_3024,0.000441,0.000445,3.5e-05,0.000533,0.0
TOME_3013,0.000431,0.000434,3.3e-05,0.000545,0.0
TOME_3019,0.000425,0.000423,3.3e-05,0.000584,0.0
TOME_3037,0.000448,0.000455,4e-05,0.000561,0.0
TOME_3029,0.000447,0.000447,4.2e-05,0.00064,0.0
TOME_3007,0.00044,0.000443,4.5e-05,0.000565,0.0
TOME_3003,0.000438,0.00044,3.6e-05,0.000522,0.0
TOME_3020,0.00044,0.000439,4.9e-05,0.000619,0.0
TOME_3023,0.000402,0.000398,5.1e-05,0.000694,0.0
TOME_3031,0.000423,0.000429,3.7e-05,0.000537,0.0
TOME_3028,0.000396,0.000397,3.2e-05,0.000518,0.0
TOME_3034,0.000452,0.000457,3.7e-05,0.000611,0.0
TOME_3018,0.000429,0.000433,3e-05,0.000541,0.0
TOME_3009,0.000419,0.000418,4.5e-05,0.000593,0.0
TOME_3036,0.000438,0.000438,2.9e-05,0.000532,0.0
TOME_3004,0.00043,0.000433,3.5e-05,0.000572,0.0
TOME_3008,0.000394,0.000397,3.2e-05,0.000493,0.0
TOME_3026,0.000426,0.000422,4.5e-05,0.000656,0.0
TOME_3032,0.00044,0.000439,5.1e-05,0.000676,0.0
TOME_3038,0.000426,0.000424,3.4e-05,0.000559,0.0
TOME_3016,0.000417,0.000416,3.8e-05,0.000601,0.0
TOME_3033,0.000463,0.000468,4.5e-05,0.000568,0.0
TOME_3035,0.000463,0.000464,6.7e-05,0.00073,0.0
TOME_3011,0.000426,0.00043,3.3e-05,0.000537,0.0
TOME_3040,0.000449,0.000452,3.1e-05,0.000596,0.0
TOME_3043,0.000417,0.000425,3.9e-05,0.000518,0.0
TOME_3014,0.000441,0.000442,2.6e-05,0.000535,0.0
TOME_3012,0.000424,0.000425,3e-05,0.000494,0.0
TOME_3015,0.000441,0.000439,3.1e-05,0.000535,0.0
TOME_3021,0.000419,0.000421,4.4e-05,0.0006,0.0
TOME_3022,0.000427,0.000428,3.2e-05,0.000593,0.0
TOME_3025,0.000429,0.000433,3.5e-05,0.000599,0.0
TOME_3044,0.000443,0.000451,3.6e-05,0.000539,0.0
TOME_3045,0.000432,0.000436,3.1e-05,0.000564,0.0
TOME_3046,0.000418,0.000423,4.1e-05,0.000527,0.0
TOME_3042,0.000451,0.000449,4.9e-05,0.000639,0.0
TOME_3017,0.00043,0.000432,3.3e-05,0.000537,0.0
TOME_3001,0.000417,0.000419,3.9e-05,0.000583,0.0
TOME_3002,0.000425,0.000415,6.1e-05,0.000662,0.0
TOME_3039,0.000406,0.000408,2.2e-05,0.000467,0.0
