subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.929862,0.927151024,0.0467957,1.07532,0.819315
preproc_wm_fod_TOME_3001,0.974226,0.966906726,0.0364376,1.1314,0.905754
preproc_wm_fod_TOME_3030,0.985766,0.987081766,0.0478452,1.17589,0.891139
preproc_wm_fod_TOME_3012,0.919841,0.916972578,0.0517307,1.11168,0.808652
preproc_wm_fod_TOME_3026,0.927029,0.930172563,0.0384134,1.04472,0.842247
preproc_wm_fod_TOME_3033,0.945399,0.937817693,0.0439245,1.07309,0.854924
preproc_wm_fod_TOME_3043,0.980506,0.980781674,0.0511876,1.13494,0.812589
preproc_wm_fod_TOME_3044,0.976077,0.968462884,0.0451588,1.12,0.892455
preproc_wm_fod_TOME_3002,1.05851,1.06525147,0.081384,1.33651,0.887185
preproc_wm_fod_TOME_3020,1.04779,1.04346871,0.0463201,1.2626,0.955427
preproc_wm_fod_TOME_3025,0.999395,1.00297594,0.046726,1.12258,0.879972
preproc_wm_fod_TOME_3045,0.950233,0.94666481,0.0432517,1.13738,0.838129
preproc_wm_fod_TOME_3023,1.12462,1.11217499,0.0596504,1.36589,1.01065
preproc_wm_fod_TOME_3029,0.93906,0.930485308,0.0489158,1.11993,0.847687
preproc_wm_fod_TOME_3035,1.10276,1.10854518,0.055462,1.21222,0.972053
preproc_wm_fod_TOME_3008,0.969405,0.9713763,0.0454968,1.11237,0.823
preproc_wm_fod_TOME_3017,0.922064,0.933404326,0.0653455,1.05384,0.756397
preproc_wm_fod_TOME_3007,0.943924,0.939391613,0.0321352,1.04887,0.847706
preproc_wm_fod_TOME_3011,0.98677,0.989516973,0.05001,1.14801,0.82666
preproc_wm_fod_TOME_3015,0.89982,0.896503031,0.0531648,1.08466,0.793134
preproc_wm_fod_TOME_3003,0.956459,0.956955135,0.0418845,1.06133,0.855047
preproc_wm_fod_TOME_3028,1.00871,1.00551021,0.0459882,1.1631,0.917943
preproc_wm_fod_TOME_3034,0.924241,0.920404494,0.0345735,1.03583,0.851205
preproc_wm_fod_TOME_3013,0.839262,0.833158553,0.0431829,1.00322,0.750724
preproc_wm_fod_TOME_3022,1.04821,1.04280436,0.0608911,1.2332,0.889002
preproc_wm_fod_TOME_3036,0.945886,0.93841964,0.0528539,1.1605,0.779771
preproc_wm_fod_TOME_3018,0.974064,0.966459513,0.0590916,1.15538,0.851546
preproc_wm_fod_TOME_3038,0.947661,0.938304603,0.0563702,1.09915,0.798593
preproc_wm_fod_TOME_3032,1.00353,1.00295794,0.0696336,1.28378,0.840603
preproc_wm_fod_TOME_3009,0.987512,0.980052471,0.0500677,1.18064,0.861215
preproc_wm_fod_TOME_3021,0.958105,0.948166132,0.053019,1.1071,0.866766
preproc_wm_fod_TOME_3016,0.946485,0.937523901,0.0477173,1.08997,0.828207
preproc_wm_fod_TOME_3037,0.943333,0.947957098,0.0443145,1.04272,0.81424
preproc_wm_fod_TOME_3039,0.937551,0.938657105,0.0452802,1.03639,0.817044
preproc_wm_fod_TOME_3004,1.0211,1.0205369,0.0417728,1.16866,0.909015
preproc_wm_fod_TOME_3042,0.911841,0.903809905,0.0527299,1.10691,0.783075
preproc_wm_fod_TOME_3005,0.952168,0.943078041,0.0580056,1.08429,0.817086
preproc_wm_fod_TOME_3014,1.01508,1.0133965,0.0569325,1.1633,0.826545
preproc_wm_fod_TOME_3046,0.963542,0.96054703,0.0729422,1.16841,0.790981
preproc_wm_fod_TOME_3019,0.924578,0.932087898,0.0487416,1.03903,0.814117
preproc_wm_fod_TOME_3031,1.06187,1.0638082,0.0704009,1.26523,0.850489
preproc_wm_fod_TOME_3024,0.979411,0.977762759,0.0533575,1.14558,0.83617
