subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.584113,0.56972903,0.234936,1.2823,0.0
preproc_wm_fod_TOME_3001,0.576747,0.537861526,0.238397,1.16039,0.0526578
preproc_wm_fod_TOME_3030,0.59423,0.577818394,0.252314,1.50558,0.0
preproc_wm_fod_TOME_3012,0.60062,0.571842909,0.254738,1.36175,0.0
preproc_wm_fod_TOME_3026,0.564501,0.546490908,0.234859,1.28007,0.0
preproc_wm_fod_TOME_3033,0.606562,0.592222035,0.242122,1.52088,0.0
preproc_wm_fod_TOME_3043,0.560369,0.524170101,0.245341,1.69093,0.0
preproc_wm_fod_TOME_3044,0.662647,0.640972137,0.245544,1.43937,0.115829
preproc_wm_fod_TOME_3002,0.589681,0.566067696,0.231804,1.34026,0.0
preproc_wm_fod_TOME_3020,0.593202,0.570929646,0.257976,1.53829,0.0
preproc_wm_fod_TOME_3025,0.649132,0.622572124,0.251978,1.56332,0.0
preproc_wm_fod_TOME_3045,0.630656,0.594440103,0.243998,1.42343,0.0
preproc_wm_fod_TOME_3023,0.599977,0.586689353,0.227081,1.53525,0.0
preproc_wm_fod_TOME_3029,0.649984,0.621527851,0.253573,1.90504,0.0
preproc_wm_fod_TOME_3035,0.592185,0.564479709,0.253634,1.33062,0.0
preproc_wm_fod_TOME_3008,0.640299,0.615134597,0.231484,1.43319,0.0924008
preproc_wm_fod_TOME_3017,0.614821,0.582007825,0.259628,1.55409,0.0784411
preproc_wm_fod_TOME_3007,0.523094,0.50773257,0.203021,1.30428,0.0
preproc_wm_fod_TOME_3011,0.687854,0.664229512,0.282492,1.74849,0.0
preproc_wm_fod_TOME_3015,0.603011,0.579082966,0.237202,1.41097,0.021355
preproc_wm_fod_TOME_3003,0.570998,0.551034212,0.214589,1.28661,0.0223833
preproc_wm_fod_TOME_3028,0.620732,0.588747978,0.277837,1.69865,0.0
preproc_wm_fod_TOME_3034,0.604178,0.584955215,0.238518,1.49407,0.0
preproc_wm_fod_TOME_3013,0.598114,0.569701135,0.25159,1.40364,0.0
preproc_wm_fod_TOME_3022,0.677609,0.654215753,0.269131,1.57307,0.0
preproc_wm_fod_TOME_3036,0.647891,0.619005978,0.2536,1.6049,0.0
preproc_wm_fod_TOME_3018,0.635713,0.618192136,0.266572,1.625,0.0
preproc_wm_fod_TOME_3038,0.650206,0.622192264,0.276425,1.5194,0.087376
preproc_wm_fod_TOME_3032,0.539648,0.52042228,0.224565,1.39238,0.0
preproc_wm_fod_TOME_3009,0.565279,0.550370157,0.235403,1.33929,0.0
preproc_wm_fod_TOME_3021,0.588489,0.570993245,0.242536,1.36525,0.0
preproc_wm_fod_TOME_3016,0.627263,0.605842054,0.249738,1.41757,0.150925
preproc_wm_fod_TOME_3037,0.647145,0.6146456,0.268809,1.48551,0.0
preproc_wm_fod_TOME_3039,0.701697,0.671881318,0.296871,1.54386,0.0
preproc_wm_fod_TOME_3004,0.652621,0.627138138,0.24381,1.49023,0.0
preproc_wm_fod_TOME_3042,0.608284,0.583940208,0.240182,1.23548,0.0347658
preproc_wm_fod_TOME_3005,0.623258,0.569983125,0.285323,1.78557,0.0
preproc_wm_fod_TOME_3014,0.677654,0.662443995,0.250389,1.65765,0.0580491
preproc_wm_fod_TOME_3046,0.507333,0.486181527,0.237328,1.24845,0.0
preproc_wm_fod_TOME_3019,0.659781,0.625417292,0.254692,1.66096,0.0337466
preproc_wm_fod_TOME_3031,0.666557,0.633266926,0.278138,1.63206,0.102002
preproc_wm_fod_TOME_3024,0.700074,0.669596791,0.272035,1.43462,0.0
