subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.547791,0.536375761,0.212482,1.13004,0.0
preproc_wm_fod_TOME_3001,0.567128,0.529152572,0.23789,1.17245,0.0809923
preproc_wm_fod_TOME_3030,0.608277,0.598358512,0.253321,1.60525,0.0
preproc_wm_fod_TOME_3012,0.577243,0.545536876,0.24436,1.36993,0.0
preproc_wm_fod_TOME_3026,0.532571,0.510483205,0.22467,1.30431,0.0
preproc_wm_fod_TOME_3033,0.576325,0.566273928,0.226048,1.44221,0.0
preproc_wm_fod_TOME_3043,0.556641,0.517008245,0.250775,1.68231,0.0
preproc_wm_fod_TOME_3044,0.647442,0.626648843,0.243423,1.34564,0.0849672
preproc_wm_fod_TOME_3002,0.640359,0.620578647,0.252963,1.44702,0.0
preproc_wm_fod_TOME_3020,0.638169,0.605998814,0.289389,1.94177,0.0
preproc_wm_fod_TOME_3025,0.653965,0.631032109,0.259761,1.72287,0.0
preproc_wm_fod_TOME_3045,0.601778,0.575128973,0.225038,1.43051,0.0
preproc_wm_fod_TOME_3023,0.688524,0.672729135,0.260653,1.80813,0.0
preproc_wm_fod_TOME_3029,0.612121,0.575808644,0.25682,2.02352,0.0
preproc_wm_fod_TOME_3035,0.666546,0.633317351,0.292922,1.50624,0.0
preproc_wm_fod_TOME_3008,0.629875,0.598886132,0.238338,1.51836,0.0834636
preproc_wm_fod_TOME_3017,0.56453,0.528716564,0.24138,1.40536,0.0643771
preproc_wm_fod_TOME_3007,0.497956,0.482844412,0.191193,1.12809,0.0
preproc_wm_fod_TOME_3011,0.686397,0.650966167,0.299691,1.94955,0.0
preproc_wm_fod_TOME_3015,0.538991,0.516677678,0.205064,1.18803,0.01882
preproc_wm_fod_TOME_3003,0.555075,0.535563231,0.202174,1.16415,0.0299657
preproc_wm_fod_TOME_3028,0.633958,0.59837234,0.282592,1.84788,0.0
preproc_wm_fod_TOME_3034,0.565364,0.546960235,0.221999,1.46213,0.0
preproc_wm_fod_TOME_3013,0.505149,0.485883474,0.203537,1.11483,0.0
preproc_wm_fod_TOME_3022,0.708544,0.685424805,0.287355,1.78464,0.0
preproc_wm_fod_TOME_3036,0.618483,0.589839816,0.252605,1.76026,0.0
preproc_wm_fod_TOME_3018,0.631123,0.615159035,0.272301,1.63419,0.0
preproc_wm_fod_TOME_3038,0.622537,0.589669228,0.267258,1.45362,0.0817968
preproc_wm_fod_TOME_3032,0.553575,0.52744633,0.233865,1.42723,0.0
preproc_wm_fod_TOME_3009,0.559209,0.544195771,0.227865,1.32086,0.0
preproc_wm_fod_TOME_3021,0.569619,0.559329629,0.227223,1.31269,0.0
preproc_wm_fod_TOME_3016,0.598147,0.567015946,0.242217,1.38841,0.13066
preproc_wm_fod_TOME_3037,0.612697,0.585764408,0.259287,1.43992,0.0
preproc_wm_fod_TOME_3039,0.661583,0.621159196,0.284347,1.35185,0.0
preproc_wm_fod_TOME_3004,0.66495,0.641652346,0.253807,1.57866,0.0
preproc_wm_fod_TOME_3042,0.563693,0.533686697,0.216848,1.1054,0.0680151
preproc_wm_fod_TOME_3005,0.594483,0.545399189,0.276766,1.81067,0.0
preproc_wm_fod_TOME_3014,0.691378,0.668424606,0.270634,1.76611,0.0
preproc_wm_fod_TOME_3046,0.498182,0.475733578,0.234533,1.30062,0.0
preproc_wm_fod_TOME_3019,0.598919,0.570567429,0.234688,1.63437,0.0362314
preproc_wm_fod_TOME_3031,0.70767,0.655793309,0.310958,1.94853,0.0914182
preproc_wm_fod_TOME_3024,0.690484,0.662169456,0.276432,1.64008,0.033404
