subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.96391,0.942394853,0.142031,1.31378,0.76404
preproc_wm_fod_TOME_3001,0.992027,0.97258991,0.12024,1.44942,0.820374
preproc_wm_fod_TOME_3030,0.990831,0.994977832,0.112185,1.38364,0.744109
preproc_wm_fod_TOME_3012,0.878251,0.879473925,0.0639814,1.04256,0.75227
preproc_wm_fod_TOME_3026,0.963726,0.937559128,0.117975,1.53246,0.798339
preproc_wm_fod_TOME_3033,1.09665,1.0934819,0.130895,1.42657,0.847241
preproc_wm_fod_TOME_3043,1.11888,1.11736941,0.0651861,1.38304,0.898381
preproc_wm_fod_TOME_3044,0.99945,0.986350894,0.06755,1.40768,0.903161
preproc_wm_fod_TOME_3002,1.10573,1.09705234,0.145379,1.62063,0.839422
preproc_wm_fod_TOME_3020,1.13349,1.11961865,0.0783712,1.72576,1.00894
preproc_wm_fod_TOME_3025,1.09375,1.06918049,0.144292,1.60868,0.814903
preproc_wm_fod_TOME_3045,0.992137,0.962322116,0.111778,1.41167,0.752732
preproc_wm_fod_TOME_3023,1.18358,1.15718699,0.157443,1.74953,0.937063
preproc_wm_fod_TOME_3029,1.00061,0.975123227,0.100598,1.31091,0.819185
preproc_wm_fod_TOME_3035,1.17503,1.13986957,0.174799,1.74278,0.920228
preproc_wm_fod_TOME_3008,1.02646,1.02367234,0.0564754,1.29709,0.877466
preproc_wm_fod_TOME_3017,0.929343,0.902581334,0.0971373,1.29373,0.792358
preproc_wm_fod_TOME_3007,0.939758,0.932890177,0.0851404,1.30193,0.741183
preproc_wm_fod_TOME_3011,1.01906,0.991404533,0.151348,1.52933,0.776242
preproc_wm_fod_TOME_3015,0.860268,0.856880963,0.0566007,1.2044,0.658058
preproc_wm_fod_TOME_3003,1.11039,1.11142778,0.12451,1.47443,0.894766
preproc_wm_fod_TOME_3028,1.00478,1.01043463,0.0570304,1.16681,0.84297
preproc_wm_fod_TOME_3034,1.02737,1.03276038,0.136035,1.37687,0.828298
preproc_wm_fod_TOME_3013,0.848394,0.842815161,0.0566205,1.15647,0.718484
preproc_wm_fod_TOME_3022,1.03797,1.027601,0.0789207,1.3132,0.89315
preproc_wm_fod_TOME_3036,0.966384,0.954996586,0.0810301,1.22896,0.800593
preproc_wm_fod_TOME_3018,1.17319,1.20826054,0.120113,1.52661,0.967055
preproc_wm_fod_TOME_3038,1.02508,1.00978398,0.0910521,1.30819,0.861414
preproc_wm_fod_TOME_3032,1.03616,1.02849019,0.122088,1.40925,0.820887
preproc_wm_fod_TOME_3009,0.971118,0.943359137,0.0918635,1.59236,0.826817
preproc_wm_fod_TOME_3021,1.0932,1.04471326,0.159651,1.7336,0.866354
preproc_wm_fod_TOME_3016,1.03613,1.03000402,0.0701878,1.29194,0.904376
preproc_wm_fod_TOME_3037,1.03934,1.0258224,0.0840357,1.34363,0.860644
preproc_wm_fod_TOME_3039,0.894808,0.90073061,0.0817182,1.05961,0.697845
preproc_wm_fod_TOME_3004,1.12678,1.11208427,0.0743582,1.54838,0.966416
preproc_wm_fod_TOME_3042,0.902389,0.887700796,0.0780513,1.17646,0.780358
preproc_wm_fod_TOME_3005,0.895223,0.891037107,0.0564187,1.13674,0.692738
preproc_wm_fod_TOME_3014,1.05397,1.04709303,0.0672555,1.41555,0.917503
preproc_wm_fod_TOME_3046,0.939974,0.901760101,0.110944,1.32012,0.784572
preproc_wm_fod_TOME_3019,1.00668,0.960620224,0.149968,1.48778,0.776659
preproc_wm_fod_TOME_3031,1.05716,1.05628514,0.0830242,1.28555,0.854057
preproc_wm_fod_TOME_3024,0.949793,0.940086484,0.0689778,1.12743,0.808173
