subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.940866,1.00396383,0.334798,1.58344,0.0197082
preproc_wm_fod_TOME_3001,0.886748,0.948378265,0.265989,1.54086,0.0830253
preproc_wm_fod_TOME_3030,0.871669,0.944838047,0.266693,1.44306,0.0
preproc_wm_fod_TOME_3012,0.866546,0.920516014,0.276577,1.66584,0.0
preproc_wm_fod_TOME_3026,0.935805,0.99411422,0.282885,1.57034,0.0
preproc_wm_fod_TOME_3033,0.867702,0.920230567,0.260043,1.64161,0.0183696
preproc_wm_fod_TOME_3043,0.978974,1.03431988,0.331395,1.71617,0.0
preproc_wm_fod_TOME_3044,0.976143,1.06371236,0.286616,1.71225,0.0
preproc_wm_fod_TOME_3002,0.913703,0.994108915,0.280674,1.56924,0.0
preproc_wm_fod_TOME_3020,0.919074,0.986669362,0.304153,1.59826,0.0
preproc_wm_fod_TOME_3025,0.914234,0.988943577,0.287085,1.54526,0.131
preproc_wm_fod_TOME_3045,0.964753,0.979252279,0.323527,1.75574,0.126984
preproc_wm_fod_TOME_3023,0.869907,0.951718986,0.264202,1.60899,0.0
preproc_wm_fod_TOME_3029,1.01999,1.08398938,0.343553,1.79683,0.0
preproc_wm_fod_TOME_3035,0.881032,0.925166607,0.295733,1.62078,0.0
preproc_wm_fod_TOME_3008,0.843217,0.918058395,0.263268,1.32574,0.0
preproc_wm_fod_TOME_3017,0.934537,0.991038918,0.287356,1.63136,0.0
preproc_wm_fod_TOME_3007,0.908941,0.973905087,0.300893,1.70874,0.0
preproc_wm_fod_TOME_3011,0.921506,1.01521587,0.282656,1.59446,0.0
preproc_wm_fod_TOME_3015,0.889193,0.94300276,0.266041,1.4562,0.0
preproc_wm_fod_TOME_3003,0.911301,0.964728892,0.308247,1.55148,0.0
preproc_wm_fod_TOME_3028,0.928683,0.984522521,0.319257,1.72345,0.0
preproc_wm_fod_TOME_3034,0.941039,1.00253725,0.292701,1.543,0.0
preproc_wm_fod_TOME_3013,0.862515,0.899667144,0.253899,1.49808,0.0
preproc_wm_fod_TOME_3022,0.923336,0.988992572,0.274711,1.70108,0.0
preproc_wm_fod_TOME_3036,0.91747,0.983860373,0.298484,1.70304,0.0
preproc_wm_fod_TOME_3018,0.984681,1.00817943,0.348828,1.85551,0.0
preproc_wm_fod_TOME_3038,0.965918,1.05760074,0.302428,1.60448,0.0
preproc_wm_fod_TOME_3032,0.931279,1.00386882,0.336983,1.65831,0.0
preproc_wm_fod_TOME_3009,0.900666,0.945198476,0.310885,1.72083,0.0
preproc_wm_fod_TOME_3021,0.920535,0.978814244,0.292435,1.54333,0.076837
preproc_wm_fod_TOME_3016,0.914513,0.980167031,0.268896,1.49521,0.0
preproc_wm_fod_TOME_3037,1.05432,1.12555742,0.353868,1.8453,0.0
preproc_wm_fod_TOME_3039,0.89094,0.930962443,0.297307,1.53182,0.0
preproc_wm_fod_TOME_3004,0.999035,1.05188251,0.33645,1.73417,0.0
preproc_wm_fod_TOME_3042,0.961929,1.01699591,0.294731,1.60799,0.0
preproc_wm_fod_TOME_3005,0.929267,1.00669503,0.286487,1.43866,0.0
preproc_wm_fod_TOME_3014,0.832552,0.885025978,0.267799,1.58028,0.0305063
preproc_wm_fod_TOME_3046,0.958857,1.02351487,0.345381,1.83393,0.0611501
preproc_wm_fod_TOME_3019,0.930931,1.01019382,0.29838,1.82814,0.130425
preproc_wm_fod_TOME_3031,0.94432,0.991772294,0.292978,1.57954,0.0
preproc_wm_fod_TOME_3024,1.00811,1.06978357,0.33691,1.68202,0.0
