subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.932216,0.895498872,0.423072,2.04971,0.017216
preproc_wm_fod_TOME_3001,0.880357,0.884979784,0.301135,2.03085,0.0790969
preproc_wm_fod_TOME_3030,0.857972,0.85290271,0.284229,1.75043,0.0
preproc_wm_fod_TOME_3012,0.757247,0.773719132,0.246098,1.61723,0.0
preproc_wm_fod_TOME_3026,0.913949,0.909065545,0.340841,2.14158,0.0
preproc_wm_fod_TOME_3033,0.971679,0.992821574,0.362173,2.25841,0.0176167
preproc_wm_fod_TOME_3043,1.10979,1.15252113,0.412857,2.12002,0.0
preproc_wm_fod_TOME_3044,0.981012,1.03394926,0.314755,2.12681,0.0
preproc_wm_fod_TOME_3002,1.02357,1.03682888,0.390765,2.43696,0.0
preproc_wm_fod_TOME_3020,1.04793,1.1097765,0.375796,2.12319,0.0
preproc_wm_fod_TOME_3025,1.00573,1.02084732,0.365694,2.18501,0.141026
preproc_wm_fod_TOME_3045,0.973261,0.919172406,0.408011,2.3873,0.119612
preproc_wm_fod_TOME_3023,1.03914,1.05521667,0.395387,2.49482,0.0
preproc_wm_fod_TOME_3029,1.04382,1.03913021,0.424881,2.1493,0.0
preproc_wm_fod_TOME_3035,1.05943,1.01026273,0.467231,2.57851,0.0
preproc_wm_fod_TOME_3008,0.870971,0.934395432,0.289858,1.45961,0.0
preproc_wm_fod_TOME_3017,0.879922,0.90168047,0.327965,1.9913,0.0
preproc_wm_fod_TOME_3007,0.861576,0.885989666,0.32313,2.19581,0.0
preproc_wm_fod_TOME_3011,0.948365,0.925323367,0.37093,2.31144,0.0
preproc_wm_fod_TOME_3015,0.767665,0.804618418,0.245129,1.46203,0.0
preproc_wm_fod_TOME_3003,1.03609,1.02998447,0.424555,2.13357,0.0
preproc_wm_fod_TOME_3028,0.935612,0.997823954,0.330753,1.81828,0.0
preproc_wm_fod_TOME_3034,0.990723,0.990258813,0.397148,1.95804,0.0
preproc_wm_fod_TOME_3013,0.732519,0.763275683,0.230817,1.5106,0.0
preproc_wm_fod_TOME_3022,0.959121,0.980230451,0.313589,2.04032,0.0
preproc_wm_fod_TOME_3036,0.883242,0.905367255,0.297204,1.82876,0.0
preproc_wm_fod_TOME_3018,1.18469,1.18942618,0.504769,2.83265,0.0
preproc_wm_fod_TOME_3038,1.00121,1.07277048,0.347787,1.74969,0.0
preproc_wm_fod_TOME_3032,0.976888,1.02117705,0.384916,1.67241,0.0
preproc_wm_fod_TOME_3009,0.88045,0.871256769,0.348384,2.0902,0.0
preproc_wm_fod_TOME_3021,1.03421,1.01083136,0.435988,2.48677,0.0772645
preproc_wm_fod_TOME_3016,0.952535,1.01388824,0.299744,1.72701,0.0
preproc_wm_fod_TOME_3037,1.11385,1.14424443,0.43214,2.35248,0.0
preproc_wm_fod_TOME_3039,0.793597,0.817816019,0.270964,1.3592,0.0
preproc_wm_fod_TOME_3004,1.13251,1.161057,0.418762,2.29219,0.0
preproc_wm_fod_TOME_3042,0.876607,0.905563116,0.305071,1.84033,0.0
preproc_wm_fod_TOME_3005,0.830764,0.905719161,0.254861,1.29522,0.0
preproc_wm_fod_TOME_3014,0.880014,0.907657981,0.302714,1.94361,0.0309654
preproc_wm_fod_TOME_3046,0.91877,0.901771307,0.411396,2.2022,0.0574381
preproc_wm_fod_TOME_3019,0.957066,0.955348015,0.394572,2.38121,0.12009
preproc_wm_fod_TOME_3031,1.00539,1.03657973,0.343409,1.97787,0.0
preproc_wm_fod_TOME_3024,0.964241,0.983645439,0.355903,1.83481,0.0
