subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,1.03127,0.920808136,0.240893,1.57451,0.741459
preproc_wm_fod_TOME_3001,1.0293,0.984991193,0.135618,1.52064,0.794269
preproc_wm_fod_TOME_3030,0.93598,0.909298837,0.122903,1.35435,0.747487
preproc_wm_fod_TOME_3012,0.911413,0.905654252,0.0654514,1.10626,0.732317
preproc_wm_fod_TOME_3026,0.994763,0.991393447,0.111101,1.25821,0.829413
preproc_wm_fod_TOME_3033,1.11239,1.09175968,0.151224,1.54473,0.902759
preproc_wm_fod_TOME_3043,1.1062,1.11249232,0.103041,1.4141,0.821479
preproc_wm_fod_TOME_3044,1.0395,1.03188145,0.0816789,1.26324,0.849061
preproc_wm_fod_TOME_3002,1.14387,1.12202621,0.154023,1.54368,0.854953
preproc_wm_fod_TOME_3020,1.11378,1.09547222,0.108529,1.44934,0.928808
preproc_wm_fod_TOME_3025,1.08401,1.09384215,0.0730472,1.36152,0.779235
preproc_wm_fod_TOME_3045,1.00168,0.992370665,0.0698291,1.20227,0.775986
preproc_wm_fod_TOME_3023,1.13842,1.10809922,0.130103,1.48197,0.922663
preproc_wm_fod_TOME_3029,0.952852,0.938686371,0.0980699,1.26891,0.70141
preproc_wm_fod_TOME_3035,1.18934,1.16334367,0.162836,1.68997,0.903809
preproc_wm_fod_TOME_3008,1.06741,1.04203928,0.0941381,1.40184,0.914176
preproc_wm_fod_TOME_3017,0.994097,0.975403428,0.0926462,1.1969,0.774876
preproc_wm_fod_TOME_3007,0.985778,0.933605134,0.153833,1.54729,0.769106
preproc_wm_fod_TOME_3011,0.924913,0.928089082,0.114612,1.21355,0.709375
preproc_wm_fod_TOME_3015,0.821552,0.817646384,0.0667679,1.18079,0.701313
preproc_wm_fod_TOME_3003,1.02268,1.00859952,0.0884815,1.42361,0.84701
preproc_wm_fod_TOME_3028,1.05593,1.03739297,0.0835595,1.34985,0.886348
preproc_wm_fod_TOME_3034,1.0044,0.991942585,0.0848935,1.23452,0.867259
preproc_wm_fod_TOME_3013,0.831407,0.827513456,0.0428785,0.971522,0.743498
preproc_wm_fod_TOME_3022,1.08369,1.07769632,0.110456,1.50273,0.857655
preproc_wm_fod_TOME_3036,0.937586,0.93547374,0.0571275,1.07944,0.756823
preproc_wm_fod_TOME_3018,1.13565,1.13233078,0.129608,1.48548,0.924258
preproc_wm_fod_TOME_3038,1.03196,1.03093719,0.0998183,1.24381,0.801597
preproc_wm_fod_TOME_3032,1.00094,0.957312226,0.124774,1.32873,0.808885
preproc_wm_fod_TOME_3009,0.997269,0.979006708,0.0884499,1.26518,0.826274
preproc_wm_fod_TOME_3021,1.1522,1.15662766,0.132013,1.42799,0.904498
preproc_wm_fod_TOME_3016,1.00927,0.986558795,0.114814,1.41758,0.812447
preproc_wm_fod_TOME_3037,1.0332,1.02536035,0.0721046,1.32411,0.848184
preproc_wm_fod_TOME_3039,0.948491,0.903595507,0.115775,1.27261,0.697235
preproc_wm_fod_TOME_3004,1.04942,1.04662061,0.074274,1.31465,0.899647
preproc_wm_fod_TOME_3042,0.877387,0.853143394,0.0905864,1.21987,0.7584
preproc_wm_fod_TOME_3005,0.94435,0.94973731,0.0822955,1.15262,0.658594
preproc_wm_fod_TOME_3014,1.08057,1.07643557,0.0658561,1.34165,0.93756
preproc_wm_fod_TOME_3046,0.995642,0.971681416,0.0945221,1.40292,0.833497
preproc_wm_fod_TOME_3019,0.982841,0.95391798,0.117137,1.33571,0.764976
preproc_wm_fod_TOME_3031,1.06582,1.07199395,0.106433,1.33442,0.778091
preproc_wm_fod_TOME_3024,0.890007,0.888253272,0.0555434,1.1283,0.738816
