subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.905556,0.956296146,0.323486,1.71778,0.0
preproc_wm_fod_TOME_3001,0.860495,0.934536636,0.288186,1.49927,0.0292329
preproc_wm_fod_TOME_3030,0.851899,0.911512196,0.301354,1.49597,0.0
preproc_wm_fod_TOME_3012,0.823602,0.866136491,0.288802,1.47327,0.0
preproc_wm_fod_TOME_3026,0.819838,0.870082259,0.300589,1.48281,0.0
preproc_wm_fod_TOME_3033,0.850816,0.871114016,0.320982,1.61772,0.0
preproc_wm_fod_TOME_3043,0.859881,0.88941443,0.330505,1.66905,0.0812534
preproc_wm_fod_TOME_3044,0.899035,0.986500323,0.291456,1.57205,0.0801688
preproc_wm_fod_TOME_3002,0.777535,0.820076585,0.295049,1.46393,0.0
preproc_wm_fod_TOME_3020,0.83532,0.871498168,0.308897,1.58671,0.0
preproc_wm_fod_TOME_3025,0.865071,0.918192983,0.302629,1.51637,0.0
preproc_wm_fod_TOME_3045,0.8697,0.857528448,0.337333,1.62824,0.0
preproc_wm_fod_TOME_3023,0.819324,0.883020282,0.268542,1.46721,0.0
preproc_wm_fod_TOME_3029,0.931521,0.979168713,0.323712,1.72793,0.0
preproc_wm_fod_TOME_3035,0.843278,0.889242828,0.297262,1.63826,0.0
preproc_wm_fod_TOME_3008,0.777795,0.800323248,0.279705,1.41334,0.0
preproc_wm_fod_TOME_3017,0.866949,0.897825241,0.286935,1.50112,0.0241052
preproc_wm_fod_TOME_3007,0.826468,0.873007655,0.277291,1.45617,0.0777008
preproc_wm_fod_TOME_3011,0.88879,0.968907595,0.289371,1.55019,0.0
preproc_wm_fod_TOME_3015,0.842377,0.91927743,0.289659,1.46317,0.0
preproc_wm_fod_TOME_3003,0.779242,0.819513261,0.301344,1.55545,0.0
preproc_wm_fod_TOME_3028,0.863065,0.920724332,0.332576,1.56008,0.0
preproc_wm_fod_TOME_3034,0.869953,0.906898916,0.310091,1.5625,0.0146483
preproc_wm_fod_TOME_3013,0.802901,0.856841087,0.251688,1.34376,0.0
preproc_wm_fod_TOME_3022,0.878721,0.940541565,0.299989,1.59037,0.0406043
preproc_wm_fod_TOME_3036,0.862792,0.932801068,0.303291,1.54353,0.0
preproc_wm_fod_TOME_3018,0.866122,0.836024821,0.359175,1.89173,0.0
preproc_wm_fod_TOME_3038,0.891449,0.915063739,0.313287,1.66688,0.179329
preproc_wm_fod_TOME_3032,0.88667,0.903048337,0.373031,1.70242,0.0
preproc_wm_fod_TOME_3009,0.878584,0.921818495,0.325206,1.55687,0.0
preproc_wm_fod_TOME_3021,0.848176,0.879164279,0.308797,1.50419,0.0753817
preproc_wm_fod_TOME_3016,0.857201,0.92368865,0.269348,1.4249,0.0
preproc_wm_fod_TOME_3037,0.969557,1.03773177,0.366255,1.79619,0.0606088
preproc_wm_fod_TOME_3039,0.869957,0.927366793,0.289691,1.54469,0.0
preproc_wm_fod_TOME_3004,0.935416,0.999392152,0.318765,1.53081,0.0
preproc_wm_fod_TOME_3042,0.923336,0.980289757,0.345586,1.6362,0.0
preproc_wm_fod_TOME_3005,0.854732,0.924833834,0.271294,1.36525,0.0814485
preproc_wm_fod_TOME_3014,0.801023,0.855018497,0.277304,1.39446,0.0
preproc_wm_fod_TOME_3046,0.90944,0.953859866,0.369316,1.83677,0.0
preproc_wm_fod_TOME_3019,0.9245,1.01696324,0.322841,1.64305,0.0
preproc_wm_fod_TOME_3031,0.894269,0.880635202,0.350443,1.68894,0.0345911
preproc_wm_fod_TOME_3024,0.953365,1.02718544,0.339883,1.81163,0.0
