subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.975043,0.894524515,0.504304,2.60136,0.0
preproc_wm_fod_TOME_3001,0.895645,0.905118644,0.361897,2.18805,0.0282229
preproc_wm_fod_TOME_3030,0.794735,0.780357182,0.319805,1.84812,0.0
preproc_wm_fod_TOME_3012,0.755789,0.779017985,0.28994,1.50989,0.0
preproc_wm_fod_TOME_3026,0.829912,0.819229245,0.350737,1.6552,0.0
preproc_wm_fod_TOME_3033,0.980163,0.929452419,0.477662,2.43196,0.0
preproc_wm_fod_TOME_3043,0.97026,0.954763889,0.427795,2.3602,0.0799937
preproc_wm_fod_TOME_3044,0.938542,1.00322163,0.326816,1.90788,0.0819475
preproc_wm_fod_TOME_3002,0.895607,0.879431069,0.384891,1.91231,0.0
preproc_wm_fod_TOME_3020,0.946744,0.930807352,0.414556,2.20706,0.0
preproc_wm_fod_TOME_3025,0.942535,0.960344493,0.347604,1.83128,0.0
preproc_wm_fod_TOME_3045,0.878912,0.838089108,0.372438,1.78524,0.0
preproc_wm_fod_TOME_3023,0.942762,0.95045948,0.370914,2.09501,0.0
preproc_wm_fod_TOME_3029,0.90323,0.902945757,0.376029,2.18497,0.0
preproc_wm_fod_TOME_3035,1.02647,0.987992823,0.453736,2.67404,0.0
preproc_wm_fod_TOME_3008,0.84203,0.83279115,0.341975,1.68888,0.0
preproc_wm_fod_TOME_3017,0.877988,0.882355988,0.34092,1.74902,0.0212075
preproc_wm_fod_TOME_3007,0.826072,0.826369226,0.333936,1.697,0.0650156
preproc_wm_fod_TOME_3011,0.824456,0.809308946,0.315064,1.8792,0.0
preproc_wm_fod_TOME_3015,0.691318,0.737307787,0.250722,1.51331,0.0
preproc_wm_fod_TOME_3003,0.806285,0.844051063,0.339982,1.78833,0.0
preproc_wm_fod_TOME_3028,0.923658,0.931473136,0.398454,1.87578,0.0
preproc_wm_fod_TOME_3034,0.889041,0.902190268,0.36414,1.84754,0.0130904
preproc_wm_fod_TOME_3013,0.667519,0.710776329,0.211899,1.17364,0.0
preproc_wm_fod_TOME_3022,0.963439,0.944701135,0.389726,2.15382,0.0454676
preproc_wm_fod_TOME_3036,0.810883,0.856325746,0.292069,1.5883,0.0
preproc_wm_fod_TOME_3018,1.01626,0.957734287,0.509,2.73215,0.0
preproc_wm_fod_TOME_3038,0.936707,0.938036144,0.378341,1.98796,0.161535
preproc_wm_fod_TOME_3032,0.911767,0.871916175,0.451469,2.12492,0.0
preproc_wm_fod_TOME_3009,0.884344,0.888797641,0.363407,1.84434,0.0
preproc_wm_fod_TOME_3021,1.00677,1.02986753,0.442717,1.95849,0.0752472
preproc_wm_fod_TOME_3016,0.867479,0.892384708,0.303505,1.80347,0.0
preproc_wm_fod_TOME_3037,1.00869,1.06295228,0.402978,1.98259,0.0617785
preproc_wm_fod_TOME_3039,0.836223,0.829767585,0.335244,1.86614,0.0
preproc_wm_fod_TOME_3004,0.98209,1.01710653,0.353501,1.74271,0.0
preproc_wm_fod_TOME_3042,0.822779,0.826778591,0.358197,1.88375,0.0
preproc_wm_fod_TOME_3005,0.81397,0.85399425,0.283972,1.41366,0.0790774
preproc_wm_fod_TOME_3014,0.869485,0.923316658,0.317955,1.64416,0.0
preproc_wm_fod_TOME_3046,0.919095,0.901898623,0.426564,2.26174,0.0
preproc_wm_fod_TOME_3019,0.927639,0.945503712,0.392661,2.02665,0.0
preproc_wm_fod_TOME_3031,0.956778,0.950212061,0.394303,2.09019,0.0370815
preproc_wm_fod_TOME_3024,0.847089,0.88421309,0.30909,1.72669,0.0
