subject,mean,median,std,max,min
TOME_3030,0.000413,0.0004,6.7e-05,0.000598,0.0
TOME_3005,0.000486,0.00048,7.1e-05,0.000662,0.0
TOME_3024,0.00046,0.000458,7.7e-05,0.000643,0.0
TOME_3013,0.000459,0.000451,7.5e-05,0.000684,0.0
TOME_3019,0.00045,0.000448,8.3e-05,0.000665,0.0
TOME_3037,0.000409,0.000386,8.6e-05,0.000661,0.0
TOME_3029,0.000431,0.000412,7.1e-05,0.000633,0.0
TOME_3007,0.000454,0.000442,8.5e-05,0.000656,0.0
TOME_3003,0.000453,0.000442,7e-05,0.000639,0.0
TOME_3020,0.000434,0.000425,7.3e-05,0.000625,0.0
TOME_3023,0.000424,0.000416,8e-05,0.000612,0.0
TOME_3031,0.000448,0.000439,7.1e-05,0.000654,0.0
TOME_3028,0.000415,0.000391,7.9e-05,0.000674,0.0
TOME_3034,0.000444,0.000429,7.4e-05,0.000656,0.0
TOME_3018,0.00043,0.000423,6.9e-05,0.00062,0.0
TOME_3009,0.000436,0.000426,6.9e-05,0.000638,0.0
TOME_3036,0.000445,0.000438,7.4e-05,0.000619,0.0
TOME_3004,0.000449,0.000436,7.7e-05,0.000629,0.0
TOME_3008,0.000435,0.000424,8.2e-05,0.00063,0.0
TOME_3026,0.000439,0.000432,7.2e-05,0.000633,0.0
TOME_3032,0.000434,0.000427,7.2e-05,0.000613,0.0
TOME_3038,0.000457,0.000455,7.6e-05,0.000625,0.0
TOME_3016,0.000457,0.00044,8e-05,0.000656,0.0
TOME_3033,0.000439,0.000417,8.1e-05,0.000634,0.0
TOME_3035,0.000429,0.00042,7.4e-05,0.000608,0.0
TOME_3011,0.000445,0.00043,7.5e-05,0.000628,0.0
TOME_3040,0.000454,0.000451,6.9e-05,0.000633,0.0
TOME_3043,0.000413,0.0004,7.6e-05,0.000598,0.0
TOME_3014,0.000455,0.000451,7.5e-05,0.00063,0.0
TOME_3012,0.000425,0.000417,7e-05,0.000612,0.0
TOME_3015,0.000464,0.000461,7.2e-05,0.000642,0.0
TOME_3021,0.000428,0.000409,8.3e-05,0.000659,0.0
TOME_3022,0.000436,0.00043,7.8e-05,0.000652,0.0
TOME_3025,0.000441,0.000435,7.3e-05,0.000617,0.0
TOME_3044,0.000447,0.00043,7.4e-05,0.000631,0.0
TOME_3045,0.000456,0.000455,7e-05,0.000654,0.0
TOME_3046,0.00042,0.000402,8.2e-05,0.000637,0.0
TOME_3042,0.000464,0.000455,7.5e-05,0.000654,0.0
TOME_3017,0.000436,0.000425,6.5e-05,0.000626,0.0
TOME_3001,0.000421,0.000415,7.2e-05,0.000605,0.0
TOME_3002,0.00042,0.000402,7.8e-05,0.000625,0.0
TOME_3039,0.000453,0.000448,7.7e-05,0.000653,0.0
