subject,mean,median,std,max,min
TOME_3030,0.628418,0.647328,0.123906,0.845729,0.0
TOME_3005,0.593049,0.595949,0.119165,0.818198,0.0
TOME_3024,0.642199,0.652842,0.103447,0.844076,0.0
TOME_3013,0.604637,0.606881,0.109552,0.837792,0.0
TOME_3019,0.681211,0.709164,0.120952,0.903804,0.0
TOME_3037,0.636775,0.648805,0.110292,0.86172,0.0
TOME_3029,0.637525,0.660374,0.122223,0.831436,0.0
TOME_3007,0.591372,0.598901,0.098434,0.827198,0.0
TOME_3003,0.601517,0.608484,0.114188,0.844579,0.0
TOME_3020,0.635151,0.65968,0.111344,0.830019,0.0
TOME_3023,0.655774,0.6758,0.112836,0.858321,0.0
TOME_3031,0.606993,0.608102,0.117543,0.851095,0.0
TOME_3028,0.654627,0.667817,0.131065,0.881809,0.0
TOME_3034,0.647589,0.661632,0.115306,0.880583,0.0
TOME_3018,0.608079,0.609048,0.118344,0.863341,0.0
TOME_3009,0.632092,0.636234,0.116608,0.833565,0.0
TOME_3036,0.617144,0.630475,0.122608,0.871935,0.0
TOME_3004,0.662123,0.678563,0.104133,0.854742,0.0
TOME_3008,0.618677,0.634832,0.119364,0.857449,0.0
TOME_3026,0.618814,0.626161,0.120058,0.855483,0.0
TOME_3032,0.630564,0.659261,0.123914,0.827627,0.0
TOME_3038,0.621868,0.628238,0.123638,0.859642,0.0
TOME_3016,0.656712,0.673253,0.108304,0.845863,0.0
TOME_3033,0.617369,0.632091,0.101473,0.82006,0.0
TOME_3035,0.622105,0.632621,0.113977,0.880535,0.0
TOME_3011,0.651164,0.666669,0.120101,0.875549,0.0
TOME_3040,0.617002,0.625108,0.123155,0.896763,0.0
TOME_3043,0.636461,0.65345,0.115383,0.845625,0.0
TOME_3014,0.612188,0.625335,0.110119,0.822201,0.0
TOME_3012,0.603133,0.608935,0.093177,0.794269,0.0
TOME_3015,0.640789,0.661134,0.104052,0.841892,0.0
TOME_3021,0.633804,0.640431,0.121116,0.86951,0.0
TOME_3022,0.646998,0.671242,0.105668,0.852493,0.0
TOME_3025,0.615611,0.627722,0.124379,0.844835,0.0
TOME_3044,0.639726,0.655424,0.096176,0.82439,0.0
TOME_3045,0.621386,0.629484,0.115001,0.834298,0.0
TOME_3046,0.626642,0.638346,0.108838,0.847668,0.0
TOME_3042,0.667128,0.686375,0.127604,0.90384,0.0
TOME_3017,0.628847,0.63525,0.098306,0.858467,0.0
TOME_3001,0.663467,0.680471,0.1034,0.860605,0.0
TOME_3002,0.609978,0.631027,0.124927,0.850358,0.0
TOME_3039,0.628579,0.632025,0.086888,0.844928,0.0
