subject,mean,median,std,max,min
TOME_3030,0.000404,0.000401,4.2e-05,0.000604,0.0
TOME_3005,0.000459,0.00046,3.3e-05,0.000672,0.0
TOME_3024,0.000431,0.000438,3.4e-05,0.00052,0.0
TOME_3013,0.000422,0.000426,3e-05,0.00054,0.0
TOME_3019,0.000414,0.000414,3.9e-05,0.000629,0.0
TOME_3037,0.000435,0.000445,4.8e-05,0.000538,0.0
TOME_3029,0.000434,0.000437,3.4e-05,0.000541,0.0
TOME_3007,0.000443,0.00045,3.9e-05,0.000562,0.0
TOME_3003,0.00044,0.000447,3.7e-05,0.000593,0.0
TOME_3020,0.00043,0.000437,4.6e-05,0.000595,0.0
TOME_3023,0.000394,0.000396,4.1e-05,0.000723,0.0
TOME_3031,0.000427,0.000432,3.3e-05,0.000497,0.0
TOME_3028,0.000396,0.000394,3.7e-05,0.000592,0.0
TOME_3034,0.000454,0.000457,3.7e-05,0.000553,0.0
TOME_3018,0.000427,0.000434,3.3e-05,0.000548,0.0
TOME_3009,0.000437,0.000445,4.4e-05,0.000577,0.0
TOME_3036,0.000435,0.000442,3.9e-05,0.000551,0.0
TOME_3004,0.000429,0.000434,4.3e-05,0.000643,0.0
TOME_3008,0.000404,0.000406,3.5e-05,0.000611,0.0
TOME_3026,0.000429,0.000424,5.9e-05,0.000734,0.0
TOME_3032,0.000424,0.000428,4.6e-05,0.000624,0.0
TOME_3038,0.000431,0.000431,4.4e-05,0.000608,0.0
TOME_3016,0.000425,0.000425,3.5e-05,0.00067,0.0
TOME_3033,0.000447,0.00046,4.9e-05,0.000628,0.0
TOME_3035,0.000453,0.000457,6.4e-05,0.000808,0.0
TOME_3011,0.000418,0.000423,2.8e-05,0.000495,0.0
TOME_3040,0.000448,0.000448,3.7e-05,0.000614,0.0
TOME_3043,0.00041,0.000418,4.3e-05,0.000605,0.0
TOME_3014,0.00043,0.000434,3.3e-05,0.000522,0.0
TOME_3012,0.000424,0.000427,3.5e-05,0.000624,0.0
TOME_3015,0.000441,0.000444,3.9e-05,0.000554,0.0
TOME_3021,0.00042,0.000427,4.4e-05,0.000581,0.0
TOME_3022,0.00042,0.000419,4.1e-05,0.000616,0.0
TOME_3025,0.000418,0.000423,3.1e-05,0.000535,0.0
TOME_3044,0.000444,0.000453,4.5e-05,0.000565,0.0
TOME_3045,0.000433,0.000439,3.8e-05,0.000604,0.0
TOME_3046,0.000424,0.000427,4.1e-05,0.000569,0.0
TOME_3042,0.000441,0.000443,3.3e-05,0.000562,0.0
TOME_3017,0.000422,0.000427,3.3e-05,0.000536,0.0
TOME_3001,0.000417,0.000419,3.6e-05,0.000659,0.0
TOME_3002,0.000436,0.000429,7.3e-05,0.000755,0.0
TOME_3039,0.000408,0.000409,2.3e-05,0.000489,0.0
