subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.917432,0.924264073,0.0525158,1.06426,0.773313
preproc_wm_fod_TOME_3001,0.968587,0.963856637,0.0402467,1.14938,0.871265
preproc_wm_fod_TOME_3030,1.00388,1.00161099,0.035914,1.13718,0.91959
preproc_wm_fod_TOME_3012,0.966647,0.96459198,0.0575048,1.12852,0.817681
preproc_wm_fod_TOME_3026,0.926474,0.936334312,0.0595243,1.10923,0.771207
preproc_wm_fod_TOME_3033,0.936536,0.932205319,0.0361105,1.05085,0.846559
preproc_wm_fod_TOME_3043,1.0022,0.999432683,0.0620437,1.20749,0.854197
preproc_wm_fod_TOME_3044,0.983754,0.986136734,0.052677,1.13378,0.850956
preproc_wm_fod_TOME_3002,1.13014,1.1160605,0.0882509,1.4904,0.931257
preproc_wm_fod_TOME_3020,1.07034,1.05735087,0.0712229,1.39754,0.933395
preproc_wm_fod_TOME_3025,1.0161,1.00935268,0.0601382,1.17091,0.900825
preproc_wm_fod_TOME_3045,0.962049,0.959940851,0.0502769,1.11059,0.80654
preproc_wm_fod_TOME_3023,1.13262,1.12858081,0.0678496,1.37628,0.941322
preproc_wm_fod_TOME_3029,0.914976,0.918444991,0.0431811,1.01569,0.803353
preproc_wm_fod_TOME_3035,1.12923,1.14461052,0.0708894,1.26815,0.932939
preproc_wm_fod_TOME_3008,0.976111,0.978473961,0.0525244,1.10536,0.816652
preproc_wm_fod_TOME_3017,0.931802,0.936806083,0.0481893,1.03651,0.810368
preproc_wm_fod_TOME_3007,0.91335,0.903496504,0.0502957,1.07894,0.819808
preproc_wm_fod_TOME_3011,0.9527,0.956345022,0.0499992,1.07012,0.782972
preproc_wm_fod_TOME_3015,0.885408,0.884417892,0.0404675,1.0358,0.787247
preproc_wm_fod_TOME_3003,0.973724,0.971057594,0.0401533,1.09475,0.882653
preproc_wm_fod_TOME_3028,1.03241,1.02990639,0.0361395,1.1617,0.957599
preproc_wm_fod_TOME_3034,0.971183,0.971619129,0.04066,1.06223,0.87873
preproc_wm_fod_TOME_3013,0.853868,0.836365938,0.0595955,1.09078,0.732994
preproc_wm_fod_TOME_3022,1.06915,1.07321346,0.0575641,1.25381,0.914679
preproc_wm_fod_TOME_3036,0.944267,0.937209129,0.0658149,1.12152,0.765043
preproc_wm_fod_TOME_3018,0.986993,0.986633122,0.0378834,1.09534,0.865321
preproc_wm_fod_TOME_3038,0.931041,0.915595829,0.0665145,1.07937,0.784282
preproc_wm_fod_TOME_3032,1.00835,0.993411779,0.0866961,1.35,0.840432
preproc_wm_fod_TOME_3009,0.966793,0.97310245,0.0569211,1.11026,0.818753
preproc_wm_fod_TOME_3021,0.986428,0.986493826,0.0480559,1.12304,0.878173
preproc_wm_fod_TOME_3016,0.931839,0.935723662,0.0499466,1.05516,0.808469
preproc_wm_fod_TOME_3037,0.947526,0.945402265,0.0584633,1.1094,0.809581
preproc_wm_fod_TOME_3039,0.905938,0.902640522,0.0531618,1.04164,0.774166
preproc_wm_fod_TOME_3004,0.990841,0.99126476,0.0451827,1.14331,0.86818
preproc_wm_fod_TOME_3042,0.943833,0.931698263,0.069471,1.20827,0.778275
preproc_wm_fod_TOME_3005,0.958247,0.961642802,0.0479376,1.08435,0.837675
preproc_wm_fod_TOME_3014,0.997503,0.993529081,0.0630095,1.16694,0.805958
preproc_wm_fod_TOME_3046,0.994102,0.996355355,0.0468026,1.12386,0.891128
preproc_wm_fod_TOME_3019,0.910271,0.906686306,0.0382323,1.02614,0.797256
preproc_wm_fod_TOME_3031,1.04789,1.05245304,0.0608189,1.2111,0.841242
preproc_wm_fod_TOME_3024,0.984496,0.973983347,0.0721332,1.14917,0.811023
