subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.60736,0.577354431,0.229099,1.19595,0.0
preproc_wm_fod_TOME_3001,0.568944,0.543180406,0.224166,1.232,0.0272299
preproc_wm_fod_TOME_3030,0.567002,0.548467636,0.217854,1.20611,0.0
preproc_wm_fod_TOME_3012,0.606436,0.585275114,0.250178,1.29935,0.0
preproc_wm_fod_TOME_3026,0.545817,0.527804971,0.225695,1.29106,0.0
preproc_wm_fod_TOME_3033,0.580803,0.552292168,0.225067,1.19929,0.0
preproc_wm_fod_TOME_3043,0.531213,0.492955804,0.234352,1.23785,0.0230285
preproc_wm_fod_TOME_3044,0.661978,0.64035666,0.24605,1.3231,0.0
preproc_wm_fod_TOME_3002,0.539771,0.517317832,0.224465,1.14815,0.0519061
preproc_wm_fod_TOME_3020,0.560899,0.551578581,0.2505,1.32399,0.0
preproc_wm_fod_TOME_3025,0.661857,0.635071218,0.258928,1.38487,0.0
preproc_wm_fod_TOME_3045,0.668354,0.639347374,0.239867,1.29682,0.147318
preproc_wm_fod_TOME_3023,0.590287,0.573446989,0.223941,1.19287,0.0
preproc_wm_fod_TOME_3029,0.659263,0.6291641,0.241886,1.46124,0.0
preproc_wm_fod_TOME_3035,0.609533,0.579479218,0.258101,1.38308,0.0
preproc_wm_fod_TOME_3008,0.641446,0.620241821,0.240448,1.33056,0.0
preproc_wm_fod_TOME_3017,0.591192,0.566315413,0.230513,1.29204,0.0243845
preproc_wm_fod_TOME_3007,0.545077,0.536105633,0.208026,1.15452,0.0722521
preproc_wm_fod_TOME_3011,0.680296,0.643067718,0.260824,1.578,0.0
preproc_wm_fod_TOME_3015,0.59195,0.578247786,0.227359,1.15812,0.0
preproc_wm_fod_TOME_3003,0.558985,0.534782112,0.210036,1.09435,0.0
preproc_wm_fod_TOME_3028,0.578757,0.540955126,0.244385,1.27097,0.079473
preproc_wm_fod_TOME_3034,0.593342,0.572844446,0.220853,1.23928,0.0
preproc_wm_fod_TOME_3013,0.582367,0.556923807,0.239781,1.34852,0.0
preproc_wm_fod_TOME_3022,0.676627,0.665982246,0.261897,1.40471,0.0
preproc_wm_fod_TOME_3036,0.640889,0.617918909,0.241021,1.26363,0.0
preproc_wm_fod_TOME_3018,0.635208,0.609658897,0.248631,1.26584,0.0225392
preproc_wm_fod_TOME_3038,0.665401,0.628902972,0.265012,1.42093,0.0
preproc_wm_fod_TOME_3032,0.505502,0.489325494,0.208398,1.2307,0.0
preproc_wm_fod_TOME_3009,0.574324,0.558329165,0.234706,1.30361,0.0
preproc_wm_fod_TOME_3021,0.571269,0.554976285,0.242215,1.29474,0.0
preproc_wm_fod_TOME_3016,0.637874,0.617930055,0.241272,1.37699,0.0
preproc_wm_fod_TOME_3037,0.640555,0.61863476,0.276696,1.33691,0.0
preproc_wm_fod_TOME_3039,0.717233,0.6813007,0.283015,1.5203,0.0
preproc_wm_fod_TOME_3004,0.632545,0.604444027,0.230414,1.20765,0.0
preproc_wm_fod_TOME_3042,0.597078,0.572880983,0.24145,1.32719,0.0252507
preproc_wm_fod_TOME_3005,0.604463,0.565775871,0.250846,1.32956,0.0
preproc_wm_fod_TOME_3014,0.625242,0.604636312,0.233775,1.34177,0.0
preproc_wm_fod_TOME_3046,0.548892,0.517376721,0.233712,1.20431,0.0
preproc_wm_fod_TOME_3019,0.643231,0.617708743,0.239774,1.21383,0.0
preproc_wm_fod_TOME_3031,0.666459,0.630104423,0.274586,1.49375,0.0
preproc_wm_fod_TOME_3024,0.680619,0.638260365,0.269905,1.31718,0.0
