subject,mean,median,std,max,min
fod_TOME_3018,0.247736,0.226404071,0.150317,0.721826,0.0
fod_TOME_3025,0.252314,0.234345227,0.152913,0.690553,0.0
fod_TOME_3022,0.279818,0.262680978,0.162157,0.808637,0.0
fod_TOME_3046,0.219975,0.20092532,0.135884,0.679367,0.0
fod_TOME_3033,0.239016,0.223630428,0.141706,0.73519,0.0
fod_TOME_3035,0.27834,0.241933495,0.174443,0.781774,0.0
fod_TOME_3007,0.200082,0.191035539,0.120842,0.554453,0.0
fod_TOME_3020,0.226156,0.211158156,0.15002,0.733384,0.0
fod_TOME_3023,0.274225,0.257429868,0.172787,0.786508,0.0
fod_TOME_3021,0.242644,0.218906671,0.153295,0.803354,0.0
fod_TOME_3044,0.273757,0.255849719,0.146189,0.779554,0.0
fod_TOME_3012,0.23308,0.211542889,0.140414,0.671629,0.0
fod_TOME_3015,0.204045,0.192016155,0.121675,0.608525,0.0
fod_TOME_3043,0.230555,0.212858886,0.15715,0.769414,0.0
fod_TOME_3031,0.271489,0.245926291,0.166812,0.7773,0.0
fod_TOME_3019,0.232211,0.215083748,0.129963,0.618964,0.0
fod_TOME_3042,0.220882,0.21092391,0.121471,0.556128,0.0
fod_TOME_3026,0.19308,0.186510175,0.123947,0.568686,0.0
fod_TOME_3032,0.198749,0.187066436,0.11988,0.531668,0.0
fod_TOME_3037,0.269286,0.245517537,0.159969,0.724535,0.0
fod_TOME_3040,0.204378,0.193562657,0.112693,0.546039,0.0
fod_TOME_3009,0.221258,0.205779687,0.139385,0.637547,0.0
fod_TOME_3029,0.254464,0.238256693,0.131602,0.662193,0.0
fod_TOME_3005,0.210339,0.212514967,0.132505,0.586612,0.0
fod_TOME_3030,0.213631,0.198307455,0.131957,0.626737,0.0
fod_TOME_3008,0.253094,0.225339174,0.153012,0.733978,0.0
fod_TOME_3004,0.260348,0.243281588,0.152149,0.77165,0.0
fod_TOME_3024,0.259031,0.231103897,0.157334,0.758139,0.0
fod_TOME_3011,0.258587,0.242464319,0.141035,0.735049,0.0
fod_TOME_3034,0.229857,0.217461839,0.126485,0.61143,0.0
fod_TOME_3045,0.260743,0.239195704,0.13864,0.708679,0.0
fod_TOME_3028,0.236635,0.218659729,0.155846,0.797019,0.0
fod_TOME_3038,0.23492,0.21451351,0.134352,0.680522,0.0
fod_TOME_3017,0.225162,0.215347856,0.134693,0.655478,0.0
fod_TOME_3001,0.244635,0.225645661,0.157066,0.808984,0.0
fod_TOME_3016,0.259738,0.240700066,0.151074,0.714024,0.0
fod_TOME_3003,0.211923,0.192068219,0.132763,0.766561,0.0
fod_TOME_3013,0.188711,0.182549059,0.125315,0.586625,0.0
fod_TOME_3002,0.252053,0.232142195,0.162333,0.737315,0.0
fod_TOME_3036,0.234072,0.219351321,0.134905,0.661137,0.0
fod_TOME_3039,0.262968,0.2481004,0.155108,0.761015,0.0
fod_TOME_3014,0.238816,0.213765115,0.149966,0.806753,0.0
