subject,mean,median,std,max,min
preproc_wm_fod_TOME_3040,0.606137,0.570492625,0.235013,1.19248,0.0
preproc_wm_fod_TOME_3001,0.568684,0.541218758,0.228873,1.22596,0.0269541
preproc_wm_fod_TOME_3030,0.5669,0.541698396,0.221871,1.1705,0.107426
preproc_wm_fod_TOME_3012,0.608118,0.578696728,0.254169,1.29818,0.0
preproc_wm_fod_TOME_3026,0.541964,0.522243679,0.231775,1.1802,0.0
preproc_wm_fod_TOME_3033,0.581032,0.548123121,0.229174,1.15439,0.0
preproc_wm_fod_TOME_3043,0.53498,0.491566449,0.237857,1.22353,0.0228914
preproc_wm_fod_TOME_3044,0.658722,0.633449316,0.250382,1.32409,0.0
preproc_wm_fod_TOME_3002,0.538441,0.516182303,0.228193,1.33564,0.053401
preproc_wm_fod_TOME_3020,0.562306,0.548397422,0.255925,1.37076,0.0
preproc_wm_fod_TOME_3025,0.65791,0.625581622,0.257539,1.36607,0.0
preproc_wm_fod_TOME_3045,0.667565,0.638850451,0.240177,1.3012,0.145348
preproc_wm_fod_TOME_3023,0.590456,0.573105335,0.228241,1.45531,0.0
preproc_wm_fod_TOME_3029,0.657908,0.623390555,0.247001,1.69568,0.0
preproc_wm_fod_TOME_3035,0.609221,0.573667765,0.259119,1.38757,0.0
preproc_wm_fod_TOME_3008,0.639714,0.613201857,0.243732,1.32925,0.0231232
preproc_wm_fod_TOME_3017,0.590187,0.562924981,0.236203,1.23502,0.0
preproc_wm_fod_TOME_3007,0.545743,0.536630869,0.212357,1.14482,0.0875099
preproc_wm_fod_TOME_3011,0.678241,0.637955308,0.26263,1.52576,0.0
preproc_wm_fod_TOME_3015,0.593691,0.580215096,0.231201,1.16017,0.0
preproc_wm_fod_TOME_3003,0.561246,0.540027559,0.213944,1.31697,0.048443
preproc_wm_fod_TOME_3028,0.576344,0.531579614,0.246266,1.27406,0.0777379
preproc_wm_fod_TOME_3034,0.594059,0.574650645,0.225997,1.24127,0.0
preproc_wm_fod_TOME_3013,0.585634,0.553892195,0.246353,1.34734,0.0
preproc_wm_fod_TOME_3022,0.675018,0.660510302,0.265549,1.39968,0.0
preproc_wm_fod_TOME_3036,0.640588,0.612671733,0.245953,1.53852,0.0
preproc_wm_fod_TOME_3018,0.635224,0.607338727,0.253925,1.26383,0.0380296
preproc_wm_fod_TOME_3038,0.663803,0.624401808,0.270337,1.43136,0.0
preproc_wm_fod_TOME_3032,0.503608,0.484336287,0.209,1.23404,0.0
preproc_wm_fod_TOME_3009,0.576687,0.554857731,0.235035,1.29712,0.0
preproc_wm_fod_TOME_3021,0.570529,0.548902929,0.246807,1.27863,0.0
preproc_wm_fod_TOME_3016,0.634393,0.615620732,0.244452,1.37858,0.0
preproc_wm_fod_TOME_3037,0.638258,0.610979557,0.28454,1.39801,0.0
preproc_wm_fod_TOME_3039,0.71736,0.674780369,0.285615,1.51772,0.0
preproc_wm_fod_TOME_3004,0.627809,0.596631289,0.23466,1.20635,0.0
preproc_wm_fod_TOME_3042,0.598,0.568797708,0.245591,1.32728,0.0299078
preproc_wm_fod_TOME_3005,0.606232,0.564793229,0.256435,1.39543,0.0
preproc_wm_fod_TOME_3014,0.626049,0.607347369,0.234912,1.61051,0.0
preproc_wm_fod_TOME_3046,0.550811,0.517279863,0.236984,1.20517,0.0
preproc_wm_fod_TOME_3019,0.640273,0.608249307,0.24088,1.34565,0.0
preproc_wm_fod_TOME_3031,0.668232,0.625485659,0.273705,1.49207,0.0
preproc_wm_fod_TOME_3024,0.679179,0.635476351,0.27289,1.53754,0.0
